Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
118,"Thursday, Aug 17 (1)",boxscore,MIN,,CLE,L,3,9,,59-59,3,6,Carrasco,Gibson,,3:53,D,"29,579",--
119,"Thursday, Aug 17 (2)",boxscore,MIN,,CLE,W,4,2,,60-59,3,6,Hildenberger,Clevinger,Belisle,3:08,N,"22,857",+
120,"Friday, Aug 18",boxscore,MIN,,ARI,W,10,3,,61-59,2,6,Santana,Godley,,3:06,N,"25,830",++
121,"Saturday, Aug 19",boxscore,MIN,,ARI,W,5,0,,62-59,2,6,Berrios,Greinke,,2:54,N,"29,456",+++
122,"Sunday, Aug 20",boxscore,MIN,,ARI,W,12,5,,63-59,2,5,Colon,McFarland,,3:06,D,"27,367",++++
123,"Monday, Aug 21 (1)",boxscore,MIN,@,CHW,L,6,7,,63-60,2,5.5,Rodon,Melville,Minaya,3:15,N,,-
124,"Monday, Aug 21 (2)",boxscore,MIN,@,CHW,W,10,2,,64-60,2,5.5,Gee,Fulmer,Duffey,2:35,N,"14,493",+
125,"Tuesday, Aug 22",boxscore,MIN,@,CHW,W,4,1,,65-60,2,4.5,Gibson,Giolito,Belisle,2:40,N,"14,053",++
126,"Wednesday, Aug 23",boxscore,MIN,@,CHW,L-wo,3,4,,65-61,2,4.5,Farquhar,Hildenberger,,2:43,N,"15,605",-
127,"Thursday, Aug 24",boxscore,MIN,@,CHW,L,1,5,,65-62,2,5.5,Holland,Berrios,,2:53,N,"16,013",--
128,"Friday, Aug 25",boxscore,MIN,@,TOR,W,6,1,,66-62,2,5.5,Colon,Happ,,3:05,N,"37,525",+
129,"Saturday, Aug 26",boxscore,MIN,@,TOR,L,9,10,,66-63,2,6.5,Estrada,Gee,Osuna,3:04,D,"45,591",-
130,"Sunday, Aug 27",boxscore,MIN,@,TOR,W,7,2,,67-63,2,6.5,Gibson,Biagini,,3:18,D,"42,478",+
131,"Tuesday, Aug 29",boxscore,MIN,,CHW,W,6,4,,68-63,2,6.5,Santana,Shields,Belisle,3:12,N,"20,530",++
132,"Wednesday, Aug 30",boxscore,MIN,,CHW,W,11,1,,69-63,2,7,Berrios,Holland,,3:17,N,"21,172",+++
133,"Thursday, Aug 31",boxscore,MIN,,CHW,W-wo,5,4,,70-63,2,6.5,Belisle,Minaya,,3:17,D,"21,288",++++
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
134,"Friday, Sep 1",boxscore,MIN,,KCR,L,6,7,,70-64,2,8,Hammel,Gee,Alexander,3:23,N,"24,068",-
135,"Saturday, Sep 2",boxscore,MIN,,KCR,W,17,0,,71-64,2,8,Gibson,Garcia,,3:05,N,"33,413",+
