Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
113,"Friday, Aug 11",boxscore,CHW,,KCR,W,6,3,,45-68,5,16,Bummer,Duffy,Clippard,2:49,N,"18,137",++++
114,"Saturday, Aug 12",boxscore,CHW,,KCR,L,4,5,,45-69,5,17,Alexander,Bummer,Herrera,3:12,N,"20,413",-
115,"Sunday, Aug 13",boxscore,CHW,,KCR,L,6,14,,45-70,5,18,Vargas,Holland,,3:38,D,"27,351",--
116,"Tuesday, Aug 15",boxscore,CHW,@,LAD,L,1,6,,45-71,5,19.5,Morrow,Minaya,,3:05,N,"46,385",---
117,"Wednesday, Aug 16",boxscore,CHW,@,LAD,L-wo,4,5,,45-72,5,20,Stripling,Petricka,,2:59,N,"52,413",----
118,"Thursday, Aug 17",boxscore,CHW,@,TEX,L,8,9,,45-73,5,20.5,Bibens-Dirkx,Lopez,Claudio,3:49,N,"23,459",-----
119,"Friday, Aug 18",boxscore,CHW,@,TEX,W,4,3,,46-73,5,20.5,Infante,Rodriguez,Minaya,3:25,N,"23,402",+
120,"Saturday, Aug 19",boxscore,CHW,@,TEX,L,7,17,,46-74,5,21.5,Perez,Holland,,3:50,N,"33,441",-
121,"Sunday, Aug 20",boxscore,CHW,@,TEX,W,3,2,,47-74,5,20.5,Gonzalez,Griffin,Minaya,3:20,D,"23,861",+
122,"Monday, Aug 21 (1)",boxscore,CHW,,MIN,W,7,6,,48-74,5,21,Rodon,Melville,Minaya,3:15,N,,++
123,"Monday, Aug 21 (2)",boxscore,CHW,,MIN,L,2,10,,48-75,5,21,Gee,Fulmer,Duffey,2:35,N,"14,493",-
124,"Tuesday, Aug 22",boxscore,CHW,,MIN,L,1,4,,48-76,5,21,Gibson,Giolito,Belisle,2:40,N,"14,053",--
125,"Wednesday, Aug 23",boxscore,CHW,,MIN,W-wo,4,3,,49-76,5,20,Farquhar,Hildenberger,,2:43,N,"15,605",+
126,"Thursday, Aug 24",boxscore,CHW,,MIN,W,5,1,,50-76,5,20,Holland,Berrios,,2:53,N,"16,013",++
127,"Friday, Aug 25",boxscore,CHW,,DET,W-wo,3,2,,51-76,5,20,Minaya,Jimenez,,2:44,N,"23,171",+++
128,"Saturday, Aug 26",boxscore,CHW,,DET,L,3,6,,51-77,5,21,Farmer,Rodon,Greene,3:14,N,"29,489",-
129,"Sunday, Aug 27",boxscore,CHW,,DET,W,7,1,,52-77,5,21,Giolito,Boyd,,2:44,D,"22,532",+
130,"Tuesday, Aug 29",boxscore,CHW,@,MIN,L,4,6,,52-78,5,22,Santana,Shields,Belisle,3:12,N,"20,530",-
131,"Wednesday, Aug 30",boxscore,CHW,@,MIN,L,1,11,,52-79,5,23.5,Berrios,Holland,,3:17,N,"21,172",--
132,"Thursday, Aug 31",boxscore,CHW,@,MIN,L-wo,4,5,,52-80,5,24,Belisle,Minaya,,3:17,D,"21,288",---
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
133,"Friday, Sep 1",boxscore,CHW,,TBR,L,1,3,,52-81,5,25.5,Snell,Lopez,Colome,2:34,N,"13,585",----
134,"Saturday, Sep 2",boxscore,CHW,,TBR,W,5,4,,53-81,5,25.5,Fulmer,Archer,Minaya,3:14,N,"17,700",+
135,"Sunday, Sep 3",boxscore,CHW,,TBR,W,6,2,,54-81,5,25.5,Giolito,Andriese,,2:50,D,"17,633",++
136,"Monday, Sep 4",boxscore,CHW,,CLE,L,3,5,,54-82,5,26.5,Bauer,Shields,Allen,3:12,D,"16,848",-
137,"Tuesday, Sep 5",boxscore,CHW,,CLE,L,4,9,,54-83,5,27.5,Otero,Holmberg,,3:43,N,"12,369",--
138,"Wednesday, Sep 6",boxscore,CHW,,CLE,L,1,5,,54-84,5,28.5,Carrasco,Lopez,,2:48,N,"13,403",---
139,"Thursday, Sep 7",boxscore,CHW,,CLE,L,2,11,,54-85,5,29.5,Kluber,Pelfrey,,2:58,N,"17,019",----
140,"Friday, Sep 8",boxscore,CHW,,SFG,L,2,9,,54-86,5,30.5,Moore,Giolito,,3:07,N,"16,852",-----
141,"Saturday, Sep 9",boxscore,CHW,,SFG,W,13,1,,55-86,5,30.5,Shields,Samardzija,,2:52,N,"17,688",+
142,"Sunday, Sep 10",boxscore,CHW,,SFG,W,8,1,,56-86,5,30.5,Fulmer,Bumgarner,,2:47,D,"16,458",++
143,"Monday, Sep 11",boxscore,CHW,@,KCR,W,11,3,,57-86,5,30.5,Lopez,Hammel,,3:16,N,"23,135",+++
144,"Tuesday, Sep 12",boxscore,CHW,@,KCR,L,3,4,,57-87,5,31.5,Gaviglio,Covey,Alexander,2:42,D,"17,727",-
145,"Wednesday, Sep 13",boxscore,CHW,@,KCR,W,5,3,,58-87,5,31.5,Minaya,Alexander,,3:23,D,"25,665",+
146,"Thursday, Sep 14",boxscore,CHW,@,DET,W,17,7,,59-87,5,31.5,Shields,Bell,,3:42,D,"26,743",++
147,"Friday, Sep 15",boxscore,CHW,@,DET,L-wo,2,3,,59-88,5,31.5,Greene,Alburquerque,,3:18,N,"25,298",-
148,"Saturday, Sep 16",boxscore,CHW,@,DET,W,10,4,,60-88,5,31.5,Lopez,Jaye,,3:25,N,"29,846",+
149,"Sunday, Sep 17",boxscore,CHW,@,DET,L,0,12,,60-89,5,32.5,Boyd,Covey,,2:45,D,"25,663",-
150,"Tuesday, Sep 19",boxscore,CHW,@,HOU,L,1,3,,60-90,5,33.5,McHugh,Giolito,Giles,2:47,N,"23,293",--
151,"Wednesday, Sep 20",boxscore,CHW,@,HOU,L,3,4,,60-91,5,34.5,Peacock,Shields,Musgrove,3:08,N,"24,995",---
152,"Thursday, Sep 21",boxscore,CHW,@,HOU,W,3,1,,61-91,5,34.5,Volstad,Keuchel,Minaya,3:17,N,"24,283",+
153,"Friday, Sep 22",boxscore,CHW,,KCR,W,7,6,,62-91,4,33.5,Lopez,Hammel,Minaya,3:22,N,"18,041",++
154,"Saturday, Sep 23",boxscore,CHW,,KCR,L,2,8,,62-92,4,34.5,Duffy,Covey,,3:02,N,"20,306",-
155,"Sunday, Sep 24",boxscore,CHW,,KCR,W,8,1,,63-92,4,34.5,Giolito,Kennedy,,2:42,D,"18,791",+
156,"Monday, Sep 25",boxscore,CHW,,LAA,W,4,2,,64-92,4,34,Shields,Nolasco,Minaya,2:59,N,"13,443",++
157,"Tuesday, Sep 26",preview,CHW,,LAA,8:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
158,"Wednesday, Sep 27",preview,CHW,,LAA,8:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
159,"Thursday, Sep 28",preview,CHW,,LAA,8:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
160,"Friday, Sep 29",preview,CHW,@,CLE,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
161,"Saturday, Sep 30",preview,CHW,@,CLE,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
162,"Sunday, Oct 1",preview,CHW,@,CLE,3:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
Gm#,Date,,Tm,,Opp,,,,,,,,,,,,,,D/N
