Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
121,"Wednesday, Aug 16",boxscore,BAL,@,SEA,L,6,7,,59-62,4,10.5,Zych,Jimenez,Rzepczynski,3:13,D,"33,448",--
122,"Friday, Aug 18",boxscore,BAL,,LAA,W-wo,9,7,,60-62,3,10.5,O'Day,Middleton,,3:13,N,"26,185",+
123,"Saturday, Aug 19",boxscore,BAL,,LAA,L,1,5,,60-63,3,10.5,Ramirez,Gausman,,3:15,N,"43,929",-
124,"Sunday, Aug 20",boxscore,BAL,,LAA,L,4,5,,60-64,3,11.5,Bedrosian,Brach,Norris,3:25,D,"24,715",--
125,"Monday, Aug 21",boxscore,BAL,,OAK,W,7,3,,61-64,3,10.5,Miley,Smith,Britton,3:12,N,"16,020",+
126,"Tuesday, Aug 22",boxscore,BAL,,OAK,L,4,6,,61-65,4,11.5,Castro,Jimenez,Treinen,3:16,N,"18,493",-
127,"Wednesday, Aug 23",boxscore,BAL,,OAK,W-wo,8,7,12,62-65,3,11.5,Castro,Castro,,4:20,D,"20,072",+
128,"Friday, Aug 25",boxscore,BAL,@,BOS,W,16,3,,63-65,3,10,Hellickson,Porcello,,3:37,N,"37,191",++
129,"Saturday, Aug 26",boxscore,BAL,@,BOS,W,7,0,,64-65,3,9,Gausman,Rodriguez,,2:58,D,"36,655",+++
130,"Sunday, Aug 27",boxscore,BAL,@,BOS,W,2,1,,65-65,3,8,Miley,Fister,Brach,3:22,D,"36,625",++++
131,"Monday, Aug 28",boxscore,BAL,,SEA,W,7,6,,66-65,3,8,Hart,Pagan,Britton,3:01,N,"15,106",+++++
132,"Tuesday, Aug 29",boxscore,BAL,,SEA,W,4,0,,67-65,3,8,Bundy,Ramirez,,2:26,N,"13,736",++++++
133,"Wednesday, Aug 30",boxscore,BAL,,SEA,W,8,7,,68-65,3,8,Brach,Bergman,Britton,3:07,D,"16,983",+++++++
134,"Thursday, Aug 31",boxscore,BAL,,TOR,L,8,11,,68-66,3,8,Estrada,Hellickson,Osuna,3:28,N,"13,802",-
